name,true_hazardous,predicted_hazardous
(2025 MY89),0,1
(2025 DM36),0,0
(2025 CG2),0,0
(2007 PB8),0,1
(2025 OW9),0,0
(2005 TC51),0,0
(2011 DT9),0,0
784199 (2015 AQ45),0,0
(2003 HT42),0,0
(2025 DJ22),0,0
(2025 DJ53),0,0
(2025 FH14),0,0
(2022 AC),0,0
(2025 SV21),0,0
(2025 FM10),0,0
(2025 SJ11),0,0
(2025 DJ29),0,0
(2002 KK3),0,0
(2014 MQ5),0,0
(2023 PL),0,0
(2025 KV12),0,0
(2018 CR3),0,0
(2001 BD16),0,0
(2017 FH128),0,0
(2014 XO7),0,0
(2025 KW6),0,0
(2024 DF1),0,0
(2025 JF2),0,0
(2025 PL3),0,0
(2025 DE8),0,0
(2024 YG1),0,0
(2025 HD2),0,0
(2023 DO),0,0
(2021 OJ),0,0
(2025 KB1),0,0
(2025 BP2),0,0
(2020 FM),0,0
(2012 FT35),0,0
535844 (2015 BY310),1,0
(2025 OU9),0,0
(2025 DA5),0,0
(2024 YZ4),0,0
523728 (2014 ON344),0,0
(2025 QE4),0,0
(2025 SK),0,0
(2020 DV2),0,0
(2023 JF),0,0
(2025 DD3),0,0
(2017 BO6),0,0
(2020 PY2),0,0
(2019 TL2),0,0
(2025 ON2),0,0
(2023 TX9),0,0
(2025 BH),0,0
(2025 DX24),0,0
(2025 SK2),0,0
512245 (2016 AU8),0,0
(2008 EP),0,0
208023 (1999 AQ10),1,0
(2010 JU34),0,0
(2020 BP11),0,0
(2023 VL),0,0
(2006 TK),0,0
(2021 EB3),0,0
(2012 PY19),0,0
(2024 RM12),0,0
(2019 WK),0,0
(2022 YV5),0,0
(2025 HV1),0,0
(2012 EO3),0,0
(2022 CG3),0,0
(2023 HV2),0,0
(2017 YW3),0,0
(2025 MZ89),0,0
(2005 OX),1,0
(2022 UA34),0,0
(2025 FR10),0,0
(2025 DV3),0,0
(2021 VP12),0,0
(2019 TY6),0,0
(2020 TQ3),0,0
(2017 TW4),0,0
(2025 BQ7),0,0
(2025 CF2),0,0
(2015 XC),0,0
(2025 OK),0,0
(2017 FW2),0,0
(2025 FH2),0,0
(2025 LN),0,0
(2012 HF2),0,0
(2016 CB32),0,0
(2025 QV2),0,0
