date,id,name,diameter_min_km,diameter_max_km,is_potentially_hazardous,close_approach_date,miss_distance_km,relative_velocity_kph
2025-01-13,54516181,(2025 BH),0.0232570687,0.0520043867,False,2025-01-13,1324015.35004352,53702.9098649842
2025-01-13,54517094,(2025 BT2),0.0114962176,0.0257063241,False,2025-01-13,1094076.497472139,62026.0840480079
2025-01-13,54529811,(2025 JH2),0.01034082,0.0231227764,False,2025-01-13,27406948.341272876,18355.7990354489
2025-01-12,3313157,(2006 BA),0.0080270317,0.0179489885,False,2025-01-12,22092069.249428302,38454.9031093907
2025-01-12,3648878,(2013 TG6),0.012839703,0.0287104486,False,2025-01-12,43060552.47514613,44844.9883404944
2025-01-12,3989277,(2020 BN12),0.0175612318,0.0392681082,False,2025-01-12,25592941.683649205,38741.1017709114
2025-01-12,54105515,(2021 AR5),0.0206326484,0.0461360043,False,2025-01-12,11550817.115014918,20950.7753135525
2025-01-12,54111266,(2021 CG4),0.0176422908,0.0394493615,False,2025-01-12,48995018.07321231,56336.198368865
2025-01-12,54214729,(2021 UO7),0.0032700544,0.0073120639,False,2025-01-12,16245498.174464907,27545.8979744487
2025-01-12,54321433,(2022 UB13),0.0027577505,0.0061665176,False,2025-01-12,68978203.83048363,9111.3349057205
2025-01-12,54395027,(2023 UJ),0.0145396843,0.0325117225,False,2025-01-12,47042760.52906835,58589.3084307973
2025-01-12,54433329,(2024 GD2),0.0206326484,0.0461360043,False,2025-01-12,19908400.67503408,11252.6167540361
2025-01-12,54513040,(2024 YZ12),0.0130784109,0.0292442157,False,2025-01-12,1207393.518045064,30774.5301104993
2025-01-12,54514890,(2024 YB26),0.0131994239,0.0295148091,False,2025-01-12,8799819.128513673,19784.1248006842
2025-01-12,54515423,(2025 AK3),0.0155079709,0.0346768771,False,2025-01-12,5115889.091498155,26855.7329931151
2025-01-12,54517340,(2025 BN4),0.0174002295,0.038908096,False,2025-01-12,6774683.336422644,26293.7801052939
2025-01-12,54539810,(2025 PB1),0.0542693946,0.1213500554,False,2025-01-12,24097897.371945225,45275.187036492
2025-01-11,3615463,(2012 UK171),0.0340843469,0.0762149166,False,2025-01-11,4081256.429654541,22903.3541937018
2025-01-11,3730322,(2015 TL178),0.1487835705,0.3326901775,True,2025-01-11,49699887.73707776,63220.2723822373
2025-01-11,3742059,(2016 CF31),0.1198270801,0.2679414966,False,2025-01-11,25935610.62451035,51574.2312735886
2025-01-11,3773744,(2017 FB157),0.0076657557,0.0171411509,False,2025-01-11,52134330.21291038,46527.2754855059
2025-01-11,3795086,(2017 YQ5),0.0305179233,0.0682401509,False,2025-01-11,32292968.681761533,44896.8626690764
2025-01-11,3797456,(2018 AN2),0.0291443905,0.0651688382,False,2025-01-11,24393068.46548883,41015.7108874141
2025-01-11,3836886,(2018 XA4),0.0042126461,0.0094197631,False,2025-01-11,59918690.38426196,32685.1153427529
2025-01-11,54144373,(2021 JY3),0.0054269395,0.0121350055,False,2025-01-11,31047814.746475734,15791.148336981
2025-01-11,54375205,(2023 OA),0.0136318556,0.0304817558,False,2025-01-11,68965285.51585679,69555.0754996898
2025-01-11,54514248,(2025 AF1),0.0074912618,0.0167509707,False,2025-01-11,1788509.286419594,17507.9468054202
2025-01-11,54515075,(2025 AV2),0.0150160248,0.0335768522,False,2025-01-11,2979899.826637787,60660.831009172
2025-01-11,54515857,(2025 AW3),0.0350392641,0.0783501764,False,2025-01-11,19056435.80881522,22171.7591109793
2025-01-11,54516006,(2025 AZ3),0.0174805453,0.0390876876,False,2025-01-11,228225.76248265,29580.526052402
2025-01-11,54517237,(2025 BA3),0.0166170902,0.0371569432,False,2025-01-11,1237448.837152302,26174.5151762749
2025-01-10,2497113,497113 (2004 EK1),0.0925880583,0.2070331923,False,2025-01-10,29822591.166938126,22587.6042002407
2025-01-10,3167343,(2003 WP7),0.0542693946,0.1213500554,False,2025-01-10,22656870.442572538,42162.5119167832
2025-01-10,3702319,(2014 YD),0.0368599699,0.0824213984,False,2025-01-10,14974781.359067757,17045.7232403826
2025-01-10,3797861,(2018 BM3),0.1063053145,0.2377059096,True,2025-01-10,21814630.844123658,82232.6223896413
2025-01-10,54111251,(2021 CO3),0.0185590173,0.0414992243,False,2025-01-10,68380429.8755312,53003.5908453547
2025-01-10,54244187,(2022 CD),0.0159424468,0.0356483948,False,2025-01-10,36194566.94069976,54878.642478076
2025-01-10,54327909,(2022 WW2),0.0204434871,0.0457130269,False,2025-01-10,48311249.368427806,33965.5870785396
2025-01-10,54457674,(2024 MH2),0.0530340723,0.1185877909,False,2025-01-10,74093047.23287047,34366.6329281098
2025-01-10,54458508,(2024 NA2),0.0249203981,0.0557237043,False,2025-01-10,18950136.783358883,14795.5718269243
2025-01-10,54509633,(2024 YD5),0.0148099972,0.0331161605,False,2025-01-10,5778839.442537933,25884.6789967955
2025-01-10,54538392,(2025 OL1),0.0262153087,0.0586192124,False,2025-01-10,27473306.35109621,30838.936903291
